ts_code,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type
000816.SZ,2025-08-08,3.16,3.16,3.18,3.15,274425.0,86692989.7,-0.32,qfq
000816.SZ,2025-08-11,3.16,3.19,3.21,3.15,355261.0,113139788.74,0.95,qfq
000816.SZ,2025-08-12,3.2,3.16,3.22,3.16,270906.0,86030760.64,-0.94,qfq
000816.SZ,2025-08-13,3.17,3.17,3.18,3.15,238715.0,75638938.35,0.32,qfq
000816.SZ,2025-08-14,3.17,3.1,3.19,3.1,438166.0,137282783.0,-2.21,qfq
000816.SZ,2025-08-15,3.11,3.14,3.15,3.1,330786.0,103270507.12,1.29,qfq
000816.SZ,2025-08-18,3.14,3.15,3.18,3.13,382228.0,120717874.24,0.32,qfq
000816.SZ,2025-08-19,3.16,3.2,3.22,3.15,581855.0,185588962.05,1.59,qfq
000816.SZ,2025-08-20,3.19,3.23,3.23,3.17,449600.0,143991940.78,0.94,qfq
000816.SZ,2025-08-21,3.22,3.2,3.24,3.18,374485.0,119970342.0,-0.93,qfq
000816.SZ,2025-08-22,3.2,3.19,3.2,3.16,368041.0,116960966.28,-0.31,qfq
000816.SZ,2025-08-25,3.2,3.23,3.25,3.19,497464.0,160203205.03,1.25,qfq
000816.SZ,2025-08-26,3.23,3.28,3.29,3.2,634858.0,206973359.6,1.55,qfq
000816.SZ,2025-08-27,3.38,3.26,3.47,3.26,1211877.0,407563791.66,-0.61,qfq
000816.SZ,2025-08-28,3.25,3.21,3.29,3.1,880541.0,280717091.06,-1.53,qfq
000816.SZ,2025-08-29,3.21,3.19,3.24,3.18,419160.0,134356955.0,-0.62,qfq
000816.SZ,2025-09-01,3.2,3.27,3.28,3.16,600807.0,195068557.26,2.51,qfq
000816.SZ,2025-09-02,3.27,3.26,3.31,3.22,501010.0,163006515.0,-0.31,qfq
000816.SZ,2025-09-03,3.26,3.19,3.27,3.18,407711.0,131657222.19,-2.15,qfq
000816.SZ,2025-09-04,3.2,3.2,3.23,3.15,444847.0,142088574.17,0.31,qfq
000816.SZ,2025-09-05,3.2,3.22,3.22,3.14,376238.0,119926291.56,0.63,qfq
000816.SZ,2025-09-08,3.22,3.26,3.28,3.21,384606.0,125062777.74,1.24,qfq
000816.SZ,2025-09-09,3.24,3.26,3.29,3.23,317576.0,103548291.97,0.0,qfq
000816.SZ,2025-09-10,3.26,3.31,3.31,3.25,562895.0,184908049.57,1.53,qfq
000816.SZ,2025-09-11,3.3,3.28,3.31,3.24,436884.0,142777598.38,-0.91,qfq
000816.SZ,2025-09-12,3.3,3.33,3.36,3.28,644904.0,214460224.97,1.52,qfq
000816.SZ,2025-09-15,3.35,3.37,3.41,3.33,525200.0,176688484.97,1.2,qfq
000816.SZ,2025-09-16,3.37,3.41,3.42,3.34,596806.0,202080832.15,1.19,qfq
000816.SZ,2025-09-17,3.4,3.37,3.41,3.35,400415.0,135002640.58,-1.17,qfq
000816.SZ,2025-09-18,3.37,3.31,3.44,3.27,655736.0,219809803.84,-1.78,qfq
000816.SZ,2025-09-19,3.3,3.21,3.3,3.2,502543.0,162163141.38,-3.02,qfq
