ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
002202.SZ,2025-04-08,7.66,7.88,7.64,7.78,645313,509478888.42,-0.89
002202.SZ,2025-04-09,7.67,7.88,7.5,7.84,507780,398922801.57,0.77
002202.SZ,2025-04-10,7.99,8.09,7.88,7.99,423798,345877455.75,1.91
002202.SZ,2025-04-11,7.96,8.07,7.88,8.01,311450,252847067.79,0.25
002202.SZ,2025-04-14,8.08,8.15,8.04,8.09,301690,248486814.17,1.0
002202.SZ,2025-04-15,8.09,8.11,7.97,8.05,241733,197402105.65,-0.49
002202.SZ,2025-04-16,8.04,8.11,7.96,8.01,252232,205820365.47,-0.5
002202.SZ,2025-04-17,8.01,8.07,7.97,8.02,172441,141053838.09,0.12
002202.SZ,2025-04-18,8.01,8.06,7.97,8.03,197396,161067768.89,0.12
002202.SZ,2025-04-21,8.05,8.15,7.99,8.05,382397,313145673.61,0.25
002202.SZ,2025-04-22,8.04,8.23,7.99,8.13,499505,413715129.2,0.99
002202.SZ,2025-04-23,8.14,8.24,8.08,8.1,280174,231293175.58,-0.37
002202.SZ,2025-04-24,8.13,8.3,8.09,8.21,432176,361133122.83,1.36
002202.SZ,2025-04-25,8.23,8.3,8.19,8.25,281103,235668156.11,0.49
002202.SZ,2025-04-28,8.54,9.0,8.46,8.82,1197595,1074286141.81,6.91
002202.SZ,2025-04-29,8.76,8.94,8.74,8.82,486637,437856375.63,0.0
002202.SZ,2025-04-30,8.79,8.82,8.59,8.61,442279,389218680.5,-2.38
002202.SZ,2025-05-06,8.67,8.72,8.57,8.7,398335,351355333.47,1.05
002202.SZ,2025-05-07,8.81,9.05,8.79,8.98,698369,634458329.1,3.22
002202.SZ,2025-05-08,8.95,9.02,8.88,8.9,419706,381463601.97,-0.89
002202.SZ,2025-05-09,8.95,9.14,8.9,9.02,478292,439339042.97,1.35
002202.SZ,2025-05-12,9.02,9.19,8.97,9.15,584011,540643237.15,1.44
002202.SZ,2025-05-13,9.22,9.3,9.12,9.18,445386,416410883.32,0.33
002202.SZ,2025-05-14,9.14,9.16,8.97,9.09,386656,354954286.3,-0.98
002202.SZ,2025-05-15,9.09,9.18,9.04,9.05,288178,266247368.85,-0.44
002202.SZ,2025-05-16,9.03,9.11,8.98,9.01,186000,170383295.23,-0.44
002202.SZ,2025-05-19,8.97,9.08,8.93,9.05,212421,194631378.64,0.44
002202.SZ,2025-05-20,9.06,9.17,9.05,9.17,335546,311154511.04,1.33
002202.SZ,2025-05-21,9.26,9.39,9.14,9.23,348347,326487935.36,0.65
002202.SZ,2025-05-22,9.18,9.24,9.06,9.08,205275,190686573.62,-1.63
002202.SZ,2025-05-23,9.08,9.14,8.91,8.92,256035,234809342.11,-1.76
002202.SZ,2025-05-26,8.9,8.96,8.86,8.91,197131,178272295.44,-0.11
002202.SZ,2025-05-27,8.92,9.09,8.86,8.98,230804,210664319.61,0.79
002202.SZ,2025-05-28,8.96,9.19,8.94,9.14,306386,282100426.65,1.78
002202.SZ,2025-05-29,9.15,9.3,9.1,9.24,304311,284693720.02,1.09
002202.SZ,2025-05-30,9.19,9.22,9.11,9.11,209525,194613007.45,-1.41
002202.SZ,2025-06-03,9.06,9.44,8.95,9.35,615729,578854487.4,2.63
002202.SZ,2025-06-04,9.33,9.54,9.22,9.23,354735,335253859.48,-1.28
